digital_code,letter_code,units,name,rate
36,AUD,1,Австралийский доллар,60.3849
944,AZN,1,Азербайджанский манат,53.7132
51,AMD,100,Армянских драмов,23.539
933,BYN,1,Белорусский рубль,28.3069
975,BGN,1,Болгарский лев,49.9461
986,BRL,1,Бразильский реал,18.0228
348,HUF,100,Венгерских форинтов,25.2384
410,KRW,1000,Вон Республики Корея,67.0035
704,VND,10000,Вьетнамских донгов,37.6624
344,HKD,1,Гонконгский доллар,11.7037
981,GEL,1,Грузинский лари,34.0756
208,DKK,1,Датская крона,13.154
784,AED,1,Дирхам ОАЭ,24.8638
840,USD,1,Доллар США,91.3124
978,EUR,1,Евро,98.473
818,EGP,10,Египетских фунтов,19.0409
356,INR,10,Индийских рупий,10.9392
360,IDR,10000,Индонезийских рупий,56.7369
398,KZT,100,Казахстанских тенге,20.6748
124,CAD,1,Канадский доллар,66.7879
634,QAR,1,Катарский риал,25.0858
417,KGS,10,Киргизских сомов,10.2975
156,CNY,1,Китайский юань,12.6453
498,MDL,10,Молдавских леев,51.529
554,NZD,1,Новозеландский доллар,54.8651
934,TMT,1,Новый туркменский манат,26.0893
578,NOK,10,Норвежских крон,83.7944
985,PLN,1,Польский злотый,22.7134
946,RON,1,Румынский лей,19.6371
960,XDR,1,СДР (специальные права заимствования),120.7013
941,RSD,100,Сербских динаров,83.4907
702,SGD,1,Сингапурский доллар,67.5388
972,TJS,10,Таджикских сомони,83.6968
764,THB,10,Таиландских батов,24.8051
949,TRY,10,Турецких лир,28.2909
860,UZS,10000,Узбекских сумов,72.0413
980,UAH,10,Украинских гривен,23.1776
826,GBP,1,Фунт стерлингов Соединенного королевства,114.0035
203,CZK,10,Чешских крон,39.3775
752,SEK,10,Шведских крон,84.285
756,CHF,1,Швейцарский франк,100.9311
710,ZAR,10,Южноафриканских рэндов,49.4497
392,JPY,100,Японских иен,58.5336
